average_rating,num_pages,num_occ_title,num_occ_authors,num_occ_genre,publication_year,top_genre,Class
3.98,358.0,1.0,2.0,4027.0,2003.0,1.0,1.0
3.89,320.0,1.0,1.0,16.0,2004.0,0.0,1.0
4.11,343.0,1.0,12.0,109.0,1992.0,0.0,0.0
4.0,249.0,1.0,1.0,4027.0,1985.0,1.0,0.0
3.89,144.0,1.0,6.0,4027.0,1990.0,1.0,1.0
3.83,342.0,1.0,21.0,15.0,2000.0,0.0,1.0
4.2,608.0,1.0,3.0,95.0,2003.0,0.0,0.0
4.0,85.0,1.0,13.0,4027.0,2006.0,1.0,0.0
3.86,546.0,1.0,14.0,226.0,1995.0,0.0,1.0
4.16,268.0,1.0,38.0,4027.0,2002.0,1.0,0.0
4.17,144.0,1.0,1.0,30.0,2004.0,0.0,0.0
3.73,340.0,1.0,19.0,4027.0,2006.0,1.0,1.0
3.69,230.0,1.0,6.0,850.0,1997.0,1.0,1.0
3.87,416.0,2.0,19.0,4027.0,1987.0,1.0,1.0
3.73,301.0,1.0,16.0,4027.0,2006.0,1.0,1.0
3.88,279.0,1.0,6.0,4027.0,2005.0,1.0,1.0
4.13,592.0,1.0,12.0,4027.0,2004.0,1.0,0.0
4.16,198.0,1.0,2.0,228.0,1984.0,0.0,0.0
3.86,127.0,1.0,1.0,108.0,1991.0,0.0,1.0
4.3,307.0,1.0,8.0,108.0,2006.0,0.0,0.0
4.01,252.0,1.0,34.0,4027.0,2006.0,1.0,0.0
3.84,116.0,1.0,10.0,850.0,2006.0,1.0,1.0
4.39,204.0,1.0,27.0,29.0,2004.0,0.0,0.0
3.79,176.0,1.0,12.0,4027.0,1995.0,1.0,1.0
4.04,556.0,3.0,7.0,2.0,2003.0,0.0,0.0
4.04,867.0,1.0,2.0,78.0,2006.0,0.0,0.0
4.0,348.0,1.0,7.0,226.0,2002.0,0.0,0.0
3.87,288.0,1.0,5.0,4027.0,2005.0,1.0,1.0
3.63,156.0,1.0,19.0,2.0,2002.0,0.0,1.0
3.38,268.0,1.0,30.0,4027.0,1993.0,1.0,1.0
4.49,640.0,1.0,12.0,4027.0,2006.0,1.0,0.0
4.2,268.0,1.0,2.0,25.0,2005.0,0.0,0.0
4.24,590.0,1.0,76.0,4027.0,1993.0,1.0,0.0
3.68,241.0,1.0,5.0,4027.0,2005.0,1.0,1.0
3.94,56.0,1.0,9.0,1.0,2000.0,0.0,1.0
3.5,748.0,1.0,1.0,4027.0,2005.0,1.0,1.0
3.95,351.0,4.0,15.0,4027.0,2006.0,1.0,1.0
3.97,267.0,1.0,7.0,4027.0,2005.0,1.0,1.0
4.24,192.0,1.0,8.0,136.0,2004.0,0.0,0.0
3.88,528.0,1.0,8.0,1.0,2005.0,0.0,1.0
3.77,368.0,1.0,1.0,587.0,1995.0,1.0,1.0
4.09,247.0,1.0,3.0,4027.0,2002.0,1.0,0.0
3.93,512.0,2.0,4.0,587.0,2006.0,1.0,1.0
3.62,178.0,1.0,8.0,1.0,2005.0,0.0,1.0
3.92,261.0,1.0,34.0,850.0,2004.0,1.0,1.0
3.93,278.0,2.0,3.0,1.0,2005.0,0.0,1.0
3.96,192.0,1.0,1.0,226.0,2000.0,0.0,1.0
4.18,272.0,1.0,1.0,136.0,2006.0,0.0,0.0
4.18,271.0,1.0,2.0,37.0,1986.0,0.0,0.0
4.55,124.0,1.0,1.0,24.0,2006.0,0.0,0.0
4.15,262.0,1.0,1.0,366.0,1990.0,1.0,0.0
4.0,10.0,1.0,8.0,850.0,2003.0,1.0,0.0
3.95,253.0,1.0,7.0,189.0,1996.0,0.0,1.0
4.18,268.0,2.0,22.0,21.0,1981.0,0.0,0.0
3.64,304.0,1.0,12.0,5.0,2002.0,0.0,1.0
3.71,183.0,1.0,12.0,850.0,2006.0,1.0,1.0
4.08,231.0,1.0,3.0,850.0,1975.0,1.0,0.0
3.97,320.0,1.0,11.0,4027.0,2004.0,1.0,1.0
4.16,178.0,1.0,2.0,2.0,1987.0,0.0,0.0
4.02,167.0,1.0,5.0,78.0,2000.0,0.0,0.0
3.85,304.0,1.0,1.0,4027.0,2003.0,1.0,1.0
4.22,192.0,1.0,1.0,114.0,2003.0,0.0,0.0
4.37,352.0,1.0,13.0,312.0,2006.0,1.0,0.0
4.22,216.0,3.0,15.0,4027.0,1991.0,1.0,0.0
4.12,384.0,1.0,3.0,1.0,1995.0,0.0,0.0
3.92,224.0,1.0,16.0,4027.0,2002.0,1.0,1.0
4.36,506.0,2.0,44.0,27.0,2004.0,0.0,0.0
4.13,304.0,1.0,38.0,4027.0,2004.0,1.0,0.0
3.7,146.0,1.0,2.0,850.0,2006.0,1.0,1.0
4.06,126.0,1.0,7.0,191.0,1994.0,0.0,0.0
4.26,239.0,1.0,6.0,42.0,2000.0,0.0,0.0
3.72,294.0,1.0,6.0,2.0,2001.0,0.0,1.0
3.7,210.0,1.0,1.0,71.0,2000.0,0.0,1.0
3.94,242.0,1.0,8.0,312.0,2006.0,1.0,1.0
3.82,409.0,1.0,11.0,4027.0,1994.0,1.0,1.0
3.88,192.0,1.0,1.0,4027.0,1999.0,1.0,1.0
3.81,320.0,1.0,11.0,4027.0,1999.0,1.0,1.0
4.35,488.0,4.0,35.0,1.0,1995.0,0.0,0.0
3.78,391.0,1.0,1.0,4027.0,1996.0,1.0,1.0
4.02,384.0,1.0,5.0,4027.0,2004.0,1.0,0.0
3.89,288.0,1.0,29.0,4027.0,2004.0,1.0,1.0
3.59,288.0,1.0,8.0,4027.0,1999.0,1.0,1.0
3.69,12.0,1.0,1.0,184.0,1997.0,0.0,1.0
3.89,200.0,1.0,4.0,228.0,2001.0,0.0,1.0
3.57,172.0,1.0,2.0,850.0,1985.0,1.0,1.0
4.17,48.0,1.0,28.0,850.0,2006.0,1.0,0.0
3.95,512.0,1.0,1.0,587.0,2006.0,1.0,1.0
4.14,79.0,1.0,4.0,77.0,2002.0,0.0,0.0
4.09,304.0,1.0,2.0,54.0,2002.0,0.0,0.0
4.13,304.0,1.0,1.0,587.0,1999.0,1.0,0.0
3.41,212.0,2.0,13.0,4027.0,2006.0,1.0,1.0
3.93,239.0,1.0,8.0,850.0,2006.0,1.0,1.0
4.1,544.0,1.0,2.0,228.0,2003.0,0.0,0.0
4.06,252.0,1.0,3.0,189.0,1978.0,0.0,0.0
4.11,184.0,1.0,1.0,850.0,2003.0,1.0,0.0
3.5,252.0,1.0,13.0,12.0,2006.0,0.0,1.0
4.07,152.0,1.0,5.0,312.0,2006.0,1.0,0.0
3.98,96.0,2.0,4.0,191.0,2002.0,0.0,1.0
4.03,256.0,1.0,2.0,4027.0,1983.0,1.0,0.0
3.69,448.0,1.0,10.0,4027.0,2006.0,1.0,1.0
3.96,964.0,1.0,1.0,48.0,2006.0,0.0,1.0
4.4,265.0,1.0,6.0,24.0,1995.0,0.0,0.0
3.75,240.0,1.0,2.0,312.0,2006.0,1.0,1.0
3.81,280.0,1.0,23.0,4027.0,2006.0,1.0,1.0
4.06,288.0,1.0,18.0,226.0,1979.0,0.0,0.0
4.3,192.0,1.0,5.0,312.0,2006.0,1.0,0.0
4.57,192.0,1.0,22.0,13.0,2004.0,0.0,0.0
3.69,384.0,1.0,18.0,4027.0,2005.0,1.0,1.0
3.25,192.0,1.0,3.0,45.0,2004.0,0.0,1.0
3.51,336.0,1.0,2.0,4027.0,2006.0,1.0,1.0
3.64,80.0,1.0,7.0,587.0,2006.0,1.0,1.0
3.84,208.0,1.0,36.0,9.0,2000.0,0.0,1.0
3.88,108.0,1.0,6.0,76.0,1999.0,0.0,1.0
3.97,208.0,1.0,28.0,5.0,2002.0,0.0,1.0
3.96,410.0,1.0,6.0,4027.0,1998.0,1.0,1.0
3.93,644.0,1.0,4.0,4027.0,2006.0,1.0,1.0
4.28,644.0,1.0,8.0,4027.0,2002.0,1.0,0.0
3.92,289.0,1.0,12.0,19.0,2000.0,0.0,1.0
3.63,110.0,1.0,4.0,4027.0,1994.0,1.0,1.0
4.22,450.0,1.0,27.0,4027.0,1978.0,1.0,0.0
4.24,752.0,1.0,34.0,4027.0,1991.0,1.0,0.0
3.32,199.0,1.0,4.0,4027.0,1981.0,1.0,1.0
4.05,320.0,1.0,11.0,4027.0,2003.0,1.0,0.0
4.15,144.0,1.0,4.0,26.0,2001.0,0.0,0.0
3.69,340.0,1.0,82.0,4027.0,2003.0,1.0,1.0
3.99,672.0,1.0,1.0,587.0,1996.0,1.0,1.0
4.17,576.0,1.0,2.0,587.0,1974.0,1.0,0.0
4.18,192.0,1.0,16.0,108.0,2004.0,0.0,0.0
3.93,144.0,1.0,19.0,312.0,2006.0,1.0,1.0
4.15,384.0,1.0,3.0,366.0,2006.0,1.0,0.0
3.89,245.0,1.0,25.0,4027.0,2001.0,1.0,1.0
4.26,520.0,1.0,6.0,1.0,2005.0,0.0,0.0
3.62,455.0,1.0,7.0,4027.0,2000.0,1.0,1.0
4.0,384.0,1.0,1.0,4027.0,2004.0,1.0,0.0
4.07,639.0,1.0,2.0,4027.0,1987.0,1.0,0.0
4.0,192.0,1.0,4.0,76.0,1994.0,0.0,0.0
4.42,902.0,1.0,8.0,108.0,2009.0,0.0,0.0
3.68,160.0,1.0,30.0,4027.0,1999.0,1.0,1.0
3.81,323.0,1.0,19.0,4027.0,1999.0,1.0,1.0
3.94,288.0,1.0,11.0,4027.0,1985.0,1.0,1.0
3.65,40.0,1.0,13.0,850.0,2006.0,1.0,1.0
3.61,256.0,2.0,11.0,4027.0,2006.0,1.0,1.0
3.87,387.0,1.0,20.0,4027.0,2002.0,1.0,1.0
3.94,288.0,1.0,23.0,4027.0,2004.0,1.0,1.0
3.83,335.0,1.0,43.0,4027.0,2000.0,1.0,1.0
4.11,144.0,1.0,11.0,312.0,2006.0,1.0,0.0
4.16,48.0,1.0,3.0,184.0,2005.0,0.0,0.0
